index,no_products,id,title
266,40,10471,Pasta de Dentes
267,40,10473,Escova de Dentes
268,6,10470,Fios Dentários
269,27,10474,Elixires
270,5,10472,Produtos para Próteses Dentárias
271,15,10469,Higiene Oral Infantil
272,40,11758,Champôs
273,40,11759,Condicionadores e Máscaras
274,40,11760,Coloração
275,28,11761,Modeladores
276,7,11762,Acessórios
277,7,11764,Unhas
278,40,11765,"Máscaras, Cremes e Limpeza Facial"
279,18,11766,Olhos e Rosto
280,9,11767,Batons
281,40,10476,Gel de Banho
282,29,10477,Sabonetes
283,40,10478,Cuidados para o Corpo
284,40,10786,Desodorizantes e Perfumes
285,40,10475,Depilação
286,2,11763,Acessórios
287,25,10538,Pensos Diários
288,37,10539,Pensos Higiénicos
289,18,10540,Tampões
290,11,10541,Gel e Loções
291,3,10698,Toalhitas Íntimas
292,24,11768,Incontinência
293,40,11316,Barba
294,14,11317,Rosto
295,34,11318,Cabelo
296,25,11383,Gel de Banho
297,40,11325,Desodorizantes e Perfumes
298,7,11322,Depilação
299,14,10529,Bronzeadores
300,40,10530,Protetores
301,11,10528,After Sun
302,10,11777,Criança
303,32,11400,Primeiros Socorros
304,3,11401,Desinfetantes
305,8,11402,Baton e Bálsamos
306,6,11778,Cotonetes e Soro Fisiológico
307,36,11779,Preservativos e Outros
308,31,11780,Papel Higiénico
