identifier,produitEan13,capacite,marque,libelle,conditionnement,prix,unitPrice,volume,typeProduit_uniteByCode,unit_value,pictogrammes_0,pictogrammes_libelleCategorie,images_0,images_1,images_2,images_3,images_4,pictogrammes_valeur,pictogrammes_type,pictogrammes_loyaltyCardRewardType,pictogrammes_dateFin,pictogrammes_categorie,pictogrammes_dateDebut,pictogrammes_maxDeclenchement,pictogrammes_remise,nro_paginas,page
16105,5601146703463,7500.0,Sagres,"Cerveja com álcool, pack 30 x 0.25 l",,13.85,1.85,7500,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/03A5259A936839E6AA1FD95014E0E2CF.jpg,,,,,100.0,PCT,STANDARD,2025-03-04T23:59:59.999999999Z,AC,2025-03-03T00:00:00Z,99.0,13.85,13,1
15125,2895006000000,150.0,Terra Nostra,Queijo Flamengo em Barra,1 un = 150 gr (aprox.),1.39,9.29,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/BF84618CA37316EE2612494B15F423CC.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
3526,2894034000000,150.0,Nobre,Fiambre da Perna Extra,1 un = 150 gr (aprox.),2.25,14.99,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/C76D05EF052819EDC79567520AD2D260.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
12972,2892040000000,1000.0,Fruta,Banana,1 un = 200 gr (aprox.),1.09,1.09,0,,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/1515327A77B72426B2932390DFBE18E5.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
32408,5601050034967,600.0,Danone,"Danacol aveia, embalagem de 6 x 100g",,2.99,4.98,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5CE656F263120C59B9C0953B21D516B7.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
8383,5601049132995,1000.0,Mimosa,"Leite uht meio gordo, embalagem de 1litro",,0.89,0.89,1000,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/6FB52C843F677BD37D399D45BB10B38B.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/AE810093A08CEBD60415DCC626CF5804.jpg,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A0562293538F541B1B99592AA046327B.jpg,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
25187,8001090371980,,Evax,Pensos higiénicos liberty noite abas,Embalagem com 9 un.,2.79,2.79,0,,€/Unidade,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/A7B851A6C9585B69A4599E34A676A85B.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
17207,8006540943687,1800.0,Fairy,Detergente manual de loiça limão,Embalagem de 2 x 900 ml,6.99,3.88,1800,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/B2EE328B1B3FB1BA0162E77ED87C40E9.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
9111,5601989001412,750.0,Monte Velho,"Vinho regional alentejano tinto, garrafa de 0.75 l",,3.49,4.65,750,L,€/L,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/5313E203A06105D1BF7A5AD8308AD864.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
28497,3222270502450,680.0,Purina Gourmet,Comida Húmida para Gato Seleção de Mousses,Embalagem de 680g,4.29,6.31,0,kg,€/Kg,,,https://driveimg1.intermarche.com/pt/Content/images/boitmal/produit/zoom/48B98515C30D063D1F85A14F56AAE58A.jpg,,,,,,,,2025-03-05T23:59:59.999999999Z,PROSPECTUS,,,,13,1
